SAMPLE_ID,PREMISE_ID,DESCRIPTION,TESTED,TEST,ASSAY,GENOTYPE,SIMILARITY,SCORE,FLAGGED
DTWP_Male_7_Pestle_8,"","","2021-01-07 08:19:20",Dorsalis,Dorsalis,ND,N/A,N/A,0
DTWP_Male_7_Pestle_7,"","","2021-01-07 08:19:20",Dorsalis,Dorsalis,ND,N/A,N/A,0
DTWP_Male_7_Pestle_6,"","","2021-01-07 08:19:20",Dorsalis,Dorsalis,ND,N/A,N/A,0
DTWP_Male_7_Pestle_5,"","","2021-01-07 08:19:20",Dorsalis,Dorsalis,ND,N/A,N/A,0
DTWP_Male_7_Pestle_4,"","","2021-01-07 08:19:20",Dorsalis,Dorsalis,ND,N/A,N/A,0
DTWP_Male_7_Pestle_3,"","","2021-01-07 08:19:20",Dorsalis,Dorsalis,"GSS Male",0.462189,N/A,0
DTWP_Male_7_Pestle_2,"","","2021-01-07 08:19:20",Dorsalis,Dorsalis,"GSS Male",0.517225,N/A,0
DTWP_Male_7_Pestle_1,"","","2021-01-07 08:19:20",Dorsalis,Dorsalis,ND,N/A,N/A,0
