TIME,NAME,CHANNEL,TUBE,SIGNAL
0.0700731,Wild Fly,2,1,99.4865
0.130621,GSS Female,3,1,136.942
0.139183,Wild Fly,2,2,92.3655
0.199794,GSS Female,3,2,130.532
0.208366,Wild Fly,2,3,92.4261
0.269261,GSS Female,3,3,138.299
0.277571,Wild Fly,2,4,94.018
0.338635,GSS Female,3,4,136.039
0.34675,Wild Fly,2,5,99.7073
0.407812,GSS Female,3,5,139.516
0.415896,Wild Fly,2,6,93.9716
0.477281,GSS Female,3,6,142.672
0.485531,Wild Fly,2,7,100.21
0.546082,GSS Female,3,7,137.511
0.554988,Wild Fly,2,8,114.657
0.615246,GSS Female,3,8,132.587
1.18864,Wild Fly,2,1,102.662
1.24891,GSS Female,3,1,136.942
1.25703,Wild Fly,2,2,96.7121
1.31733,GSS Female,3,2,129.417
1.32586,Wild Fly,2,3,98.5201
1.38744,GSS Female,3,3,138.299
1.39535,Wild Fly,2,4,98.2915
1.4557,GSS Female,3,4,140.392
1.46391,Wild Fly,2,5,97.5397
1.52483,GSS Female,3,5,147.029
1.53273,Wild Fly,2,6,93.9716
1.59348,GSS Female,3,6,153.399
1.60191,Wild Fly,2,7,107.517
1.66264,GSS Female,3,7,145.909
1.67117,Wild Fly,2,8,122.565
1.73188,GSS Female,3,8,138.851
2.30395,Wild Fly,2,1,106.895
2.36429,GSS Female,3,1,147.395
2.37238,Wild Fly,2,2,105.405
2.43299,GSS Female,3,2,137.226
2.44153,Wild Fly,2,3,105.63
2.50204,GSS Female,3,3,141.466
2.51024,Wild Fly,2,4,103.633
2.57148,GSS Female,3,4,150.187
2.57956,Wild Fly,2,5,99.7073
2.64035,GSS Female,3,5,157.761
2.64837,Wild Fly,2,6,90.8736
2.70884,GSS Female,3,6,167.345
2.71735,Wild Fly,2,7,118.999
2.77772,GSS Female,3,7,160.605
2.78642,Wild Fly,2,8,126.518
2.84693,GSS Female,3,8,149.291
3.42071,Wild Fly,2,1,114.304
3.48156,GSS Female,3,1,159.939
3.48942,Wild Fly,2,2,111.925
3.5501,GSS Female,3,2,142.805
3.55859,Wild Fly,2,3,110.708
3.61898,GSS Female,3,3,142.522
3.62698,Wild Fly,2,4,107.907
3.68789,GSS Female,3,4,159.981
3.69639,Wild Fly,2,5,98.6235
3.75715,GSS Female,3,5,167.42
3.76525,Wild Fly,2,6,97.0696
3.826,GSS Female,3,6,182.363
3.83424,Wild Fly,2,7,127.35
3.89521,GSS Female,3,7,175.301
3.90392,Wild Fly,2,8,133.108
3.96463,GSS Female,3,8,160.774
4.5406,Wild Fly,2,1,118.537
4.60116,GSS Female,3,1,169.348
4.60974,Wild Fly,2,2,116.272
4.67031,GSS Female,3,2,148.383
4.67894,Wild Fly,2,3,114.771
4.73949,GSS Female,3,3,145.689
4.74763,Wild Fly,2,4,115.386
4.8088,GSS Female,3,4,168.688
4.81693,Wild Fly,2,5,99.7073
4.87766,GSS Female,3,5,178.152
4.88654,Wild Fly,2,6,95.0043
4.94728,GSS Female,3,6,197.381
4.95558,Wild Fly,2,7,136.745
5.01691,GSS Female,3,7,193.146
5.02589,Wild Fly,2,8,141.015
5.08673,GSS Female,3,8,176.434
5.66164,Wild Fly,2,1,123.829
5.72276,GSS Female,3,1,179.801
5.73067,Wild Fly,2,2,122.792
5.79109,GSS Female,3,2,156.193
5.79969,Wild Fly,2,3,118.834
5.86046,GSS Female,3,3,147.8
5.8687,Wild Fly,2,4,118.591
5.92915,GSS Female,3,4,181.748
5.93746,Wild Fly,2,5,101.875
5.99827,GSS Female,3,5,188.884
6.0063,Wild Fly,2,6,102.233
6.06714,GSS Female,3,6,213.472
6.07561,Wild Fly,2,7,148.227
6.13613,GSS Female,3,7,207.841
6.1451,Wild Fly,2,8,148.922
6.20543,GSS Female,3,8,190.006
6.78033,Wild Fly,2,1,131.238
6.84078,GSS Female,3,1,190.255
6.84903,Wild Fly,2,2,128.225
6.90995,GSS Female,3,2,161.771
6.91854,Wild Fly,2,3,120.865
6.97947,GSS Female,3,3,148.856
6.98755,Wild Fly,2,4,122.864
7.04817,GSS Female,3,4,195.896
7.05716,Wild Fly,2,5,102.959
7.11722,GSS Female,3,5,197.469
7.12581,Wild Fly,2,6,100.168
7.18679,GSS Female,3,6,230.635
7.1953,Wild Fly,2,7,156.578
7.25581,GSS Female,3,7,225.686
7.26458,Wild Fly,2,8,154.194
7.32582,GSS Female,3,8,206.71
7.90037,Wild Fly,2,1,133.354
7.96114,GSS Female,3,1,203.844
7.96924,Wild Fly,2,2,132.572
8.03,GSS Female,3,2,170.696
8.03862,Wild Fly,2,3,124.928
8.09941,GSS Female,3,3,149.912
8.1076,Wild Fly,2,4,131.411
8.16828,GSS Female,3,4,207.867
8.17663,Wild Fly,2,5,104.042
8.23784,GSS Female,3,5,210.348
8.24624,Wild Fly,2,6,104.298
8.30754,GSS Female,3,6,252.09
8.31585,Wild Fly,2,7,164.929
8.37683,GSS Female,3,7,247.73
8.38561,Wild Fly,2,8,163.419
8.44671,GSS Female,3,8,227.59
9.02111,Wild Fly,2,1,146.055
9.08185,GSS Female,3,1,219.525
9.08997,Wild Fly,2,2,141.265
9.15079,GSS Female,3,2,177.39
9.15932,Wild Fly,2,3,130.006
9.21979,GSS Female,3,3,153.079
