SAMPLE_ID,PREMISE_ID,DESCRIPTION,TESTED,TEST,ASSAY,GENOTYPE,SIMILARITY,SCORE,FLAGGED
DTWP_Male_21_Pestle_8,"","","2021-01-06 06:57:58",Dorsalis,Dorsalis,"GSS Male",0.576601,N/A,0
DTWP_Male_21_Pestle_7,"","","2021-01-06 06:57:58",Dorsalis,Dorsalis,"GSS Male",0.442937,N/A,0
DTWP_Male_21_Pestle_6,"","","2021-01-06 06:57:58",Dorsalis,Dorsalis,ND,N/A,N/A,0
DTWP_Male_21_Pestle_5,"","","2021-01-06 06:57:58",Dorsalis,Dorsalis,"GSS Male",0.41422,N/A,0
DTWP_Male_21_Pestle_4,"","","2021-01-06 06:57:58",Dorsalis,Dorsalis,"GSS Male",0.307202,N/A,0
DTWP_Male_21_Pestle_3,"","","2021-01-06 06:57:58",Dorsalis,Dorsalis,ND,N/A,N/A,0
DTWP_Male_21_Pestle_2,"","","2021-01-06 06:57:58",Dorsalis,Dorsalis,"GSS Male",0.468901,N/A,0
DTWP_Male_21_Pestle_1,"","","2021-01-06 06:57:58",Dorsalis,Dorsalis,"GSS Female",0.131909,N/A,0
